valid_time,wind,fm1000,fm100,gridmet_burning_index,gridmet_fm1000,gridmet_fm100,condition_1,condition_1_extreme,condition_2,spatial_ref,fire_name,saw_day,esaw_day,month,year,fire_year
1980-01-01,1.5045018,7.082670588803135,6.108594242626893,40.72799915200021,10.527199940799978,10.804799955199954,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-02,2.0772173,6.93199482286866,5.229813988784265,47.81599950400016,10.414799915199984,9.575599934399971,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-03,1.793304,6.823121254076925,4.149112596183979,45.34399985600015,10.349999879999997,8.285599974399965,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-04,0.8939899,6.579270478431843,3.284564194100993,42.65599910400028,9.97359995039998,7.167599974399981,False,False,0.5,0,Eaton,False,False,1,1980,1979
1980-01-05,1.0596356,6.317412209494985,3.063301275964814,42.71599910400023,9.82359995039998,6.503199988799991,False,False,0.5,0,Eaton,False,False,1,1980,1979
1980-01-06,0.8207165,6.389730653506577,3.6728692536920464,0.0,9.903999919999992,6.670800059199981,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-07,1.098655,7.807062630858129,8.942711739186773,0.0,9.861599974399986,8.953200236799947,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-08,1.643642,9.01890076621729,13.24012706090724,0.0,11.22719990880001,14.299199964800016,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-09,2.0680816,10.55312153410954,16.37681539320484,0.0,12.819599878400014,18.474399969599997,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-10,3.0023046,12.18862769893699,18.56497568523056,0.0,14.470799883200012,21.083599934399984,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-11,2.0428994,13.80573517004392,20.478901064989337,0.0,15.991599918399997,23.19319994879997,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-12,1.7108746,15.344480581489192,21.684843357621467,0.0,17.138399977599995,23.40520009279996,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-13,1.4153459,16.913609886414015,22.340017848156336,0.0,18.739599982399994,24.55000004799997,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-14,2.1407237,18.03114779606023,22.690926234645435,0.0,19.977199956800003,25.290799963199973,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-15,1.7551692,18.88402517766759,22.741799639502897,0.8639991359994128,19.791999991999997,22.54679996319997,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-16,1.561111,19.93254038179741,22.771700615132676,0.0,19.7783999616,20.785199756800047,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-17,1.9264028,21.067876350960773,22.95317867424518,0.0,19.962799971200013,19.55399977600007,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-18,2.309177,22.06662829192961,22.60205747874429,0.0,19.989199900800024,19.01839976160006,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-19,1.5164526,21.79173024376469,18.248496144152668,28.671998208000247,19.79639990560002,16.555199812800037,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-20,2.176125,21.299320218142316,14.143526257793468,40.10799771200031,19.30999993600001,13.997199884800017,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-21,2.3058314,20.457239995469784,10.972848479282607,41.69599806400025,18.54519990080002,11.78399993599999,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-22,2.1334956,19.46123360667308,8.826234304068265,41.65599766400027,17.943999896000022,9.9791999168,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-23,2.506562,18.58315164606289,7.224780625448158,45.559997760000336,17.308799931200014,8.650399977599985,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-24,2.5577075,17.722516711822006,5.982018806025643,42.39599886400011,16.707599926400015,7.59799996799999,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-25,1.2681677,16.899567139806017,5.609282339056275,35.499999760000044,16.022399961600005,6.990799963199997,False,False,0.5,0,Eaton,False,False,1,1980,1979
1980-01-26,1.9016712,17.076293665564545,8.356036194180172,39.047999712000006,15.797599886400022,7.544800003199995,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-27,1.5327044,16.958914296459277,8.741218561114536,0.0,16.30279993120002,11.414400001600017,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-28,1.7383368,17.937627744445976,12.992804402693466,0.0,17.367599966400007,16.23799997599999,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-29,2.2528038,18.85201977748964,16.2311580663526,0.0,18.703999936000017,19.808399985599973,False,False,0.0,0,Eaton,False,False,1,1980,1979
1980-01-30,1.2892522,18.47562246668499,13.965373711713497,0.0,18.871199980800004,19.26279997919996,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-01-31,1.4649818,18.09281565892097,12.134702318103557,0.0,18.975999976,17.964799939199956,False,False,1.0,0,Eaton,False,False,1,1980,1979
1980-09-01,1.2713664,2.913304938503848,1.0757693151475445,51.292000207999806,6.585999864000044,6.5463999296000415,False,False,0.0,0,Eaton,False,False,9,1980,1980
1980-09-02,1.2130165,2.8221474198202614,1.431024015777458,59.99199900800001,6.585999864000044,6.715999960000028,False,False,0.0,0,Eaton,False,False,9,1980,1980
1980-09-03,1.2270755,2.7204945735284363,1.2057486185254724,61.56399905599994,6.594799899200039,6.743999920000045,False,False,0.0,0,Eaton,False,False,9,1980,1980
